,firstname,lastname,gender,birthmonth,birthday,birthyear,course,phonenumber
776,name777,lastname777,Male,12,7,98,BS LM,  927 870 5781
777,name778,lastname778,Female,11,19,98,BS ITE,  927 395 8840
778,name779,lastname779,Male,2,26,99,BS LM,  917 270 6901
779,name780,lastname780,Male,3,23,99,BS MGT,  917 952 6452
780,name781,lastname781,Male,6,18,01,BS ITE,  927 418 3742
781,name782,lastname782,Male,1,7,97,BS ME,918 233 8431
782,name783,lastname783,Male,1,13,01,BS CTM,918 219 7061
783,name784,lastname784,Male,10,13,98,BS MGT,927 298 9517
784,name785,lastname785,Male,11,10,99,BS CTM,918 853 5737
785,name786,lastname786,Male,1,20,99,BS ME,917 731 6873
786,name787,lastname787,Female,5,6,99,BS LM,  927 927 3411
787,name788,lastname788,Female,12,10,99,BS ITE,  918 304 1152
788,name789,lastname789,Female,6,6,98,BS ME,927 479 4510
789,name790,lastname790,Male,11,8,99,BS ME,917 541 7757
790,name791,lastname791,Male,2,2,98,BS MGT,918 892 1734
791,name792,lastname792,Female,6,28,98,BS LM,917 551 8650
792,name793,lastname793,Male,1,19,00,BS MGT,918 468 7521
793,name794,lastname794,Male,4,17,99,BS CTM,917 241 9293
794,name795,lastname795,Female,7,20,99,BS LM,917 805 7437
795,name796,lastname796,Female,6,28,98,BS MGT,  927 494 5884
796,name797,lastname797,Male,9,27,99,BS MGT,917 846 2976
797,name798,lastname798,Male,10,8,99,BS MGT,917 982 7959
798,name799,lastname799,Male,10,6,97,BS LM,  917 763 4267
799,name800,lastname800,Male,10,4,00,BS ME,927 925 9558
800,name801,lastname801,Female,7,9,98,BS CTM,918 222 8588
801,name802,lastname802,Female,9,20,00,BS LM,  917 432 8589
802,name803,lastname803,Male,9,8,99,BS ME,  927 141 1347
803,name804,lastname804,Female,1,4,00,BS CTM,918 335 4115
804,name805,lastname805,Male,2,22,99,BS MGT,  927 672 2746
805,name806,lastname806,Female,9,16,98,BS ME,917 894 5967
806,name807,lastname807,Male,8,16,99,BS MGT,917 293 8858
807,name808,lastname808,Female,2,5,97,BS LM,917 340 6918
808,name809,lastname809,Female,3,16,99,BS LM,917 542 4578
809,name810,lastname810,Male,7,27,01,BS MGT,  927 488 5698
810,name811,lastname811,Female,9,12,97,BS LM,917 710 6722
811,name812,lastname812,Male,4,3,00,BS ITE,  927 312 1350
812,name813,lastname813,Male,7,22,98,BS ITE,  927 930 8635
813,name814,lastname814,Male,9,24,01,BS LM,  918 674 6521
814,name815,lastname815,Male,5,28,97,BS MGT,  917 378 9770
815,name816,lastname816,Male,10,22,00,BS ME,  917 744 7100
816,name817,lastname817,Female,5,23,00,BS LM,  927 617 8372
817,name818,lastname818,Female,5,5,97,BS ME,918 114 7136
818,name819,lastname819,Male,3,2,00,BS ITE,927 842 2036
819,name820,lastname820,Male,5,8,01,BS MGT,  917 318 2989
820,name821,lastname821,Female,12,20,01,BS MGT,  918 936 7960
821,name822,lastname822,Female,2,28,98,BS LM,918 417 7143
822,name823,lastname823,Female,2,26,98,BS CTM,  927 892 4500
823,name824,lastname824,Female,6,28,97,BS LM,918 481 9803
824,name825,lastname825,Male,12,10,98,BS ME,917 819 3783
825,name826,lastname826,Female,1,1,98,BS CTM,  918 126 2024
826,name827,lastname827,Female,11,21,97,BS MGT,  927 562 3224
827,name828,lastname828,Female,7,13,00,BS ME,918 308 7447
828,name829,lastname829,Female,9,7,01,BS MGT,  917 447 9808
829,name830,lastname830,Male,8,19,99,BS MGT,927 549 7794
830,name831,lastname831,Female,1,2,99,BS ITE,  917 239 1786
831,name832,lastname832,Female,8,20,98,BS CTM,927 763 5312
832,name833,lastname833,Female,9,15,00,BS ITE,  917 417 7432
833,name834,lastname834,Female,5,15,01,BS CTM,  917 116 7049
834,name835,lastname835,Male,8,25,01,BS LM,  918 573 6898
835,name836,lastname836,Female,3,26,01,BS ME,927 931 9624
836,name837,lastname837,Female,11,14,00,BS CTM,927 857 6715
837,name838,lastname838,Male,12,13,01,BS CTM,  918 747 9833
838,name839,lastname839,Male,9,3,98,BS MGT,  917 494 4004
839,name840,lastname840,Female,10,22,98,BS CTM,927 677 8540
840,name841,lastname841,Male,8,20,99,BS MGT,  917 723 1059
841,name842,lastname842,Female,7,22,99,BS ITE,  927 407 5637
842,name843,lastname843,Female,4,4,97,BS MGT,  927 873 8336
843,name844,lastname844,Male,5,28,99,BS ME,917 284 2175
844,name845,lastname845,Male,9,7,98,BS ITE,  918 450 1669
845,name846,lastname846,Female,9,1,97,BS LM,  918 337 6525
846,name847,lastname847,Female,11,15,98,BS ME,  927 963 1010
847,name848,lastname848,Female,8,17,99,BS ITE,918 782 1125
848,name849,lastname849,Male,9,15,97,BS CTM,927 158 9777
849,name850,lastname850,Female,11,16,01,BS ME,  918 454 2076
850,name851,lastname851,Female,7,4,97,BS LM,  918 681 4113
851,name852,lastname852,Female,7,1,97,BS LM,927 402 8839
852,name853,lastname853,Male,6,21,00,BS CTM,  927 180 3943
853,name854,lastname854,Male,9,6,97,BS ITE,  918 175 3354
854,name855,lastname855,Female,2,23,98,BS ME,917 816 3618
855,name856,lastname856,Female,5,7,98,BS MGT,927 119 9872
856,name857,lastname857,Female,9,13,98,BS LM,  917 795 3886
857,name858,lastname858,Male,4,18,00,BS ITE,  927 106 6957
858,name859,lastname859,Female,11,20,01,BS LM,  918 513 9069
859,name860,lastname860,Female,4,19,97,BS ME,  918 713 5212
860,name861,lastname861,Female,12,27,98,BS ITE,  918 685 4917
861,name862,lastname862,Male,7,3,98,BS MGT,927 581 1326
862,name863,lastname863,Female,2,12,01,BS MGT,  927 618 6967
863,name864,lastname864,Male,7,12,99,BS LM,  918 357 1556
864,name865,lastname865,Male,5,17,01,BS LM,917 693 6203
865,name866,lastname866,Male,5,16,98,BS LM,927 248 6994
866,name867,lastname867,Male,3,28,97,BS ITE,  917 143 6591
867,name868,lastname868,Male,1,11,99,BS ME,917 299 3591
868,name869,lastname869,Male,7,27,97,BS CTM,  927 592 1019
869,name870,lastname870,Male,1,11,99,BS CTM,  918 155 7151
870,name871,lastname871,Female,7,7,99,BS CTM,  917 403 6185
871,name872,lastname872,Female,3,23,97,BS CTM,917 420 2785
872,name873,lastname873,Female,5,17,99,BS ME,  918 966 3409
873,name874,lastname874,Female,1,10,98,BS CTM,918 646 6350
874,name875,lastname875,Female,6,17,01,BS ITE,  927 400 5224
875,name876,lastname876,Female,2,21,01,BS CTM,918 908 6977
876,name877,lastname877,Female,8,27,01,BS ITE,  918 638 9959
877,name878,lastname878,Male,7,22,99,BS LM,  918 616 5326
878,name879,lastname879,Male,12,25,98,BS ME,918 139 7536
879,name880,lastname880,Female,3,17,98,BS ME,  917 533 5972
880,name881,lastname881,Female,12,2,00,BS ITE,917 221 7566
881,name882,lastname882,Female,4,5,99,BS CTM,927 530 7214
882,name883,lastname883,Female,7,4,97,BS LM,917 868 9083
883,name884,lastname884,Female,4,23,00,BS LM,  918 660 3128
884,name885,lastname885,Male,12,11,00,BS MGT,  927 175 2972
885,name886,lastname886,Female,10,26,97,BS LM,917 276 8699
886,name887,lastname887,Female,4,4,00,BS ME,  917 210 7063
887,name888,lastname888,Female,7,2,98,BS MGT,927 127 3113
888,name889,lastname889,Male,7,20,01,BS MGT,  917 977 3508
889,name890,lastname890,Male,11,2,98,BS MGT,  917 328 9205
890,name891,lastname891,Female,8,13,00,BS ME,918 821 7480
891,name892,lastname892,Male,3,26,98,BS ME,  917 689 2678
892,name893,lastname893,Female,7,2,98,BS LM,  927 597 4601
893,name894,lastname894,Male,3,21,99,BS LM,  917 165 3793
894,name895,lastname895,Male,2,14,99,BS ITE,  917 166 3062
895,name896,lastname896,Male,10,10,98,BS LM,927 346 9730
896,name897,lastname897,Male,10,1,00,BS MGT,  918 912 7678
897,name898,lastname898,Male,4,17,99,BS ITE,917 170 1087
898,name899,lastname899,Male,8,3,97,BS MGT,  918 972 7480
899,name900,lastname900,Female,12,4,97,BS LM,  927 700 9691
900,name901,lastname901,Male,4,2,01,BS CTM,  927 992 8635
901,name902,lastname902,Female,1,18,01,BS ITE,  918 101 2444
902,name903,lastname903,Female,5,27,97,BS MGT,918 111 3466
903,name904,lastname904,Female,12,8,97,BS ME,  917 991 3757
904,name905,lastname905,Female,3,12,99,BS ITE,  917 607 4978
905,name906,lastname906,Female,10,12,98,BS LM,918 901 1766
906,name907,lastname907,Female,7,25,97,BS CTM,  917 774 3282
907,name908,lastname908,Male,1,11,99,BS CTM,  918 186 9039
908,name909,lastname909,Male,12,27,98,BS CTM,918 931 9646
909,name910,lastname910,Female,9,15,01,BS CTM,  918 959 8390
910,name911,lastname911,Male,11,9,97,BS MGT,918 566 3286
911,name912,lastname912,Female,12,1,98,BS MGT,  918 599 4332
912,name913,lastname913,Male,6,23,99,BS MGT,927 573 4571
913,name914,lastname914,Female,3,23,99,BS ITE,917 798 2620
914,name915,lastname915,Female,4,19,97,BS LM,917 265 9185
915,name916,lastname916,Male,1,24,97,BS CTM,927 753 1533
916,name917,lastname917,Male,8,17,01,BS ITE,  917 588 3224
917,name918,lastname918,Female,11,9,97,BS LM,918 870 2621
918,name919,lastname919,Male,3,18,97,BS CTM,  918 982 6506
919,name920,lastname920,Male,11,12,00,BS ME,917 710 6432
920,name921,lastname921,Male,7,21,01,BS MGT,927 689 3928
921,name922,lastname922,Male,5,25,00,BS LM,918 723 7128
922,name923,lastname923,Male,1,17,01,BS MGT,927 188 1317
923,name924,lastname924,Male,7,14,97,BS CTM,  917 751 9632
924,name925,lastname925,Female,11,4,99,BS CTM,917 409 7669
925,name926,lastname926,Male,4,24,98,BS ITE,918 777 1156
926,name927,lastname927,Male,7,28,97,BS ME,  918 390 2146
927,name928,lastname928,Female,2,13,97,BS ME,918 675 5512
928,name929,lastname929,Female,11,21,99,BS ITE,918 450 7839
929,name930,lastname930,Male,11,25,99,BS ME,  927 950 5397
930,name931,lastname931,Male,3,16,98,BS MGT,  917 409 7205
931,name932,lastname932,Male,8,5,99,BS MGT,  927 768 9251
932,name933,lastname933,Female,6,12,99,BS LM,  927 860 1383
933,name934,lastname934,Female,7,28,00,BS ME,  927 966 2788
934,name935,lastname935,Male,8,24,99,BS CTM,  918 597 5321
935,name936,lastname936,Male,11,2,00,BS LM,918 720 1768
936,name937,lastname937,Male,1,8,98,BS MGT,  918 582 3906
937,name938,lastname938,Female,1,22,00,BS ME,918 184 3212
938,name939,lastname939,Female,4,17,97,BS ME,917 271 5839
939,name940,lastname940,Female,6,6,98,BS MGT,917 977 7795
940,name941,lastname941,Male,7,21,99,BS ME,917 165 6593
941,name942,lastname942,Male,8,14,00,BS CTM,  917 223 2556
942,name943,lastname943,Male,4,24,99,BS CTM,927 770 7950
943,name944,lastname944,Female,11,13,98,BS CTM,  927 664 6148
944,name945,lastname945,Female,11,2,99,BS ITE,927 890 5180
945,name946,lastname946,Female,9,20,98,BS ME,  927 644 4841
946,name947,lastname947,Male,9,27,99,BS ME,  917 505 1295
947,name948,lastname948,Female,7,9,98,BS ITE,  917 906 6791
948,name949,lastname949,Female,8,7,00,BS ME,917 374 6420
949,name950,lastname950,Female,7,15,97,BS MGT,927 295 1812
950,name951,lastname951,Female,8,20,00,BS ME,  917 689 8285
951,name952,lastname952,Male,4,7,98,BS LM,  918 678 4969
952,name953,lastname953,Female,7,16,01,BS LM,918 294 9247
953,name954,lastname954,Female,4,23,00,BS CTM,  918 780 7638
954,name955,lastname955,Male,11,4,98,BS ITE,918 760 1168
955,name956,lastname956,Male,11,16,97,BS LM,  927 373 9248
956,name957,lastname957,Male,3,15,97,BS MGT,  918 501 9104
957,name958,lastname958,Male,6,23,99,BS CTM,  917 316 9587
958,name959,lastname959,Female,11,1,97,BS ME,927 234 2768
959,name960,lastname960,Male,8,5,98,BS MGT,  918 949 2654
960,name961,lastname961,Male,10,28,97,BS ME,917 815 2634
961,name962,lastname962,Female,6,24,98,BS ITE,  927 772 9962
962,name963,lastname963,Male,12,25,97,BS ITE,917 309 4471
963,name964,lastname964,Male,3,24,00,BS CTM,  917 749 3301
964,name965,lastname965,Female,7,21,97,BS CTM,927 384 2721
965,name966,lastname966,Female,11,15,99,BS ITE,  917 237 8133
966,name967,lastname967,Male,3,26,99,BS ITE,927 964 4299
967,name968,lastname968,Female,3,19,00,BS CTM,  917 240 9076
968,name969,lastname969,Female,6,2,98,BS ITE,  917 176 9439
969,name970,lastname970,Male,7,9,97,BS ME,927 100 9164
970,name971,lastname971,Female,4,9,98,BS ME,927 730 8393
971,name972,lastname972,Male,11,28,99,BS CTM,917 389 5738
972,name973,lastname973,Male,5,25,97,BS ME,917 634 5100
973,name974,lastname974,Male,12,20,01,BS ITE,927 357 1836
974,name975,lastname975,Female,3,11,00,BS ME,  917 868 4656
975,name976,lastname976,Female,11,7,99,BS LM,  918 918 7519
976,name977,lastname977,Female,3,21,99,BS ME,918 632 8482
977,name978,lastname978,Female,11,25,97,BS ME,917 525 6204
978,name979,lastname979,Male,9,23,98,BS MGT,  927 765 1941
979,name980,lastname980,Female,12,14,01,BS LM,  918 606 4478
980,name981,lastname981,Male,3,10,99,BS CTM,927 760 8017
981,name982,lastname982,Female,6,21,00,BS LM,  917 829 3943
982,name983,lastname983,Male,3,24,99,BS LM,  917 662 1872
983,name984,lastname984,Female,7,22,99,BS LM,  917 283 7138
984,name985,lastname985,Female,11,17,01,BS CTM,  927 254 1823
985,name986,lastname986,Female,2,28,00,BS CTM,  917 628 1470
986,name987,lastname987,Female,1,13,97,BS MGT,927 147 7217
987,name988,lastname988,Male,12,27,97,BS LM,917 314 4815
988,name989,lastname989,Male,2,26,99,BS ME,  918 168 3635
989,name990,lastname990,Male,10,4,98,BS MGT,918 313 9787
990,name991,lastname991,Male,11,22,00,BS MGT,  927 117 4649
991,name992,lastname992,Female,8,14,99,BS LM,  927 528 8069
992,name993,lastname993,Male,7,5,00,BS MGT,  918 851 8170
993,name994,lastname994,Female,5,20,98,BS ME,927 793 3024
994,name995,lastname995,Male,6,11,99,BS ITE,  927 871 6633
995,name996,lastname996,Female,5,4,98,BS LM,  927 159 8838
996,name997,lastname997,Male,9,24,97,BS MGT,  918 333 2036
997,name998,lastname998,Male,3,4,99,BS CTM,917 116 1724
998,name999,lastname999,Female,1,11,99,BS MGT,  917 997 1830
999,name1000,lastname1000,Female,7,24,98,BS LM,927 789 2057
1000,name1001,lastname1001,Male,10,13,99,BS LM,918 226 5829
1001,name1002,lastname1002,Female,1,16,97,BS ITE,  917 189 5851
1002,name1003,lastname1003,Female,7,1,99,BS ITE,917 577 5113
1003,name1004,lastname1004,Female,6,8,97,BS ME,918 633 2873
1004,name1005,lastname1005,Female,1,14,00,BS MGT,  918 107 4666
1005,name1006,lastname1006,Male,3,23,99,BS ITE,917 575 1571
1006,name1007,lastname1007,Male,9,14,97,BS MGT,918 673 9002
1007,name1008,lastname1008,Female,5,13,98,BS CTM,927 455 7889
1008,name1009,lastname1009,Female,2,23,98,BS MGT,  918 790 1682
1009,name1010,lastname1010,Female,5,25,99,BS MGT,  917 254 7870
1010,name1011,lastname1011,Male,4,9,99,BS LM,  918 652 6097
1011,name1012,lastname1012,Female,5,14,97,BS MGT,  917 120 1564
1012,name1013,lastname1013,Male,9,8,97,BS MGT,927 878 8766
1013,name1014,lastname1014,Female,5,1,01,BS ME,918 524 3684
1014,name1015,lastname1015,Female,3,10,97,BS LM,917 209 4854
1015,name1016,lastname1016,Male,4,16,97,BS CTM,  917 610 8591
1016,name1017,lastname1017,Female,1,17,98,BS CTM,  918 198 8897
1017,name1018,lastname1018,Male,2,21,97,BS MGT,917 470 7921
1018,name1019,lastname1019,Male,7,16,01,BS MGT,917 415 3731
1019,name1020,lastname1020,Female,3,13,99,BS MGT,917 421 2734
1020,name1021,lastname1021,Male,5,20,98,BS ITE,  917 286 5078
1021,name1022,lastname1022,Female,12,4,97,BS ITE,  918 819 6422
1022,name1023,lastname1023,Male,6,28,00,BS LM,918 423 3021
1023,name1024,lastname1024,Male,9,9,98,BS ME,  917 720 3510
1024,name1025,lastname1025,Male,3,8,99,BS CTM,  918 748 6951
1025,name1026,lastname1026,Female,1,15,98,BS MGT,  927 426 7423
1026,name1027,lastname1027,Female,1,14,99,BS ME,927 556 8003
1027,name1028,lastname1028,Female,6,28,99,BS MGT,  927 571 1913
1028,name1029,lastname1029,Female,9,11,99,BS CTM,  927 120 7807
1029,name1030,lastname1030,Female,4,7,01,BS LM,917 327 6289
1030,name1031,lastname1031,Female,8,21,99,BS ITE,  918 446 4044
1031,name1032,lastname1032,Male,12,26,99,BS CTM,917 959 9685
1032,name1033,lastname1033,Female,5,16,98,BS CTM,  918 371 7071
1033,name1034,lastname1034,Male,12,15,00,BS MGT,  927 777 1235
1034,name1035,lastname1035,Female,6,1,99,BS CTM,918 657 6901
1035,name1036,lastname1036,Male,6,3,00,BS MGT,  927 465 6997
1036,name1037,lastname1037,Female,1,19,01,BS ITE,  918 777 8386
1037,name1038,lastname1038,Female,1,22,99,BS ME,918 591 8053
1038,name1039,lastname1039,Male,1,16,00,BS ME,917 604 5494
1039,name1040,lastname1040,Female,12,6,97,BS ME,  918 631 5507
1040,name1041,lastname1041,Female,2,12,98,BS CTM,  917 803 3974
1041,name1042,lastname1042,Male,12,24,97,BS LM,918 821 6331
1042,name1043,lastname1043,Female,3,13,99,BS CTM,927 760 2707
1043,name1044,lastname1044,Male,7,2,97,BS ITE,918 349 9660
1044,name1045,lastname1045,Male,5,21,97,BS CTM,927 713 5773
1045,name1046,lastname1046,Female,5,22,01,BS MGT,  917 214 4255
1046,name1047,lastname1047,Male,5,25,98,BS LM,918 340 3323
1047,name1048,lastname1048,Male,3,25,98,BS ME,  927 397 4986
1048,name1049,lastname1049,Female,2,1,97,BS ME,917 668 9753
1049,name1050,lastname1050,Male,7,28,98,BS ITE,917 467 6080
1050,name1051,lastname1051,Female,6,9,01,BS ME,  927 371 2566
1051,name1052,lastname1052,Female,4,6,97,BS LM,917 227 5205
1052,name1053,lastname1053,Male,4,9,00,BS ITE,917 105 9613
1053,name1054,lastname1054,Male,11,7,98,BS ME,918 339 7033
1054,name1055,lastname1055,Female,8,23,99,BS CTM,  918 959 8550
1055,name1056,lastname1056,Female,4,6,99,BS ITE,  918 354 7812
1056,name1057,lastname1057,Male,2,28,01,BS ME,918 514 4755
1057,name1058,lastname1058,Female,11,12,01,BS LM,  927 197 8951
1058,name1059,lastname1059,Male,4,11,98,BS ITE,  918 680 4779
1059,name1060,lastname1060,Male,7,1,00,BS CTM,918 645 6025
1060,name1061,lastname1061,Female,5,24,97,BS CTM,  917 371 3839
1061,name1062,lastname1062,Male,7,19,98,BS ME,927 361 7293
1062,name1063,lastname1063,Female,1,13,97,BS ITE,  918 182 1959
1063,name1064,lastname1064,Male,3,7,00,BS CTM,  917 818 4976
1064,name1065,lastname1065,Male,4,8,99,BS MGT,918 247 3215
1065,name1066,lastname1066,Male,1,28,97,BS ME,  927 344 3571
1066,name1067,lastname1067,Female,10,3,99,BS LM,917 557 5859
1067,name1068,lastname1068,Female,7,4,97,BS CTM,918 705 3092
1068,name1069,lastname1069,Female,5,23,99,BS ITE,  918 350 6711
1069,name1070,lastname1070,Female,2,18,99,BS ITE,918 569 7640
1070,name1071,lastname1071,Female,1,14,99,BS CTM,918 474 5680
1071,name1072,lastname1072,Female,8,13,99,BS CTM,918 441 2380
1072,name1073,lastname1073,Male,10,1,97,BS ITE,  917 333 9074
1073,name1074,lastname1074,Male,2,26,98,BS MGT,  927 231 5102
1074,name1075,lastname1075,Male,8,22,00,BS CTM,  918 772 9445
1075,name1076,lastname1076,Female,6,19,98,BS ITE,  927 767 7062
1076,name1077,lastname1077,Male,8,1,97,BS CTM,  917 222 4027
1077,name1078,lastname1078,Male,8,18,98,BS MGT,  917 372 6091
1078,name1079,lastname1079,Female,10,7,99,BS ME,  918 598 8688
1079,name1080,lastname1080,Male,11,17,00,BS ME,927 500 8664
1080,name1081,lastname1081,Male,12,5,99,BS ME,927 904 3251
1081,name1082,lastname1082,Female,1,28,00,BS ME,918 853 8895
1082,name1083,lastname1083,Female,12,15,98,BS ITE,918 867 4047
1083,name1084,lastname1084,Female,2,27,99,BS MGT,927 780 5516
1084,name1085,lastname1085,Male,6,28,01,BS CTM,  917 739 8316
1085,name1086,lastname1086,Male,4,28,97,BS MGT,917 257 8186
1086,name1087,lastname1087,Female,3,28,98,BS ME,  927 692 7290
1087,name1088,lastname1088,Female,9,5,99,BS ITE,  927 304 1355
1088,name1089,lastname1089,Male,4,25,99,BS CTM,  918 955 8221
1089,name1090,lastname1090,Female,7,27,00,BS CTM,918 613 2252
1090,name1091,lastname1091,Female,2,24,99,BS MGT,  927 740 8593
1091,name1092,lastname1092,Male,2,17,00,BS ME,927 658 1569
1092,name1093,lastname1093,Male,5,23,97,BS ME,927 325 6671
1093,name1094,lastname1094,Male,6,25,00,BS ME,  917 857 8412
1094,name1095,lastname1095,Female,1,26,97,BS ITE,  917 343 3386
1095,name1096,lastname1096,Male,7,21,01,BS ITE,927 862 4541
1096,name1097,lastname1097,Male,7,2,00,BS ITE,918 645 9539
1097,name1098,lastname1098,Female,1,15,99,BS ME,  927 381 8143
1098,name1099,lastname1099,Male,3,22,01,BS MGT,  918 242 4918
1099,name1100,lastname1100,Male,11,19,97,BS LM,918 352 6064
1100,name1101,lastname1101,Male,4,5,00,BS ITE,  917 225 6387
1101,name1102,lastname1102,Male,5,14,99,BS LM,927 357 9725
1102,name1103,lastname1103,Male,6,4,01,BS ME,  917 811 5416
1103,name1104,lastname1104,Male,12,12,99,BS CTM,927 155 2357
1104,name1105,lastname1105,Female,3,23,99,BS ME,927 659 7601
1105,name1106,lastname1106,Male,10,26,98,BS LM,  917 579 9310
1106,name1107,lastname1107,Male,12,14,00,BS MGT,  918 899 5954
1107,name1108,lastname1108,Male,4,21,97,BS ITE,918 597 2109
1108,name1109,lastname1109,Female,8,18,97,BS MGT,  927 331 2469
1109,name1110,lastname1110,Male,11,23,97,BS CTM,927 857 4325
1110,name1111,lastname1111,Male,3,17,01,BS CTM,  917 745 6591
1111,name1112,lastname1112,Female,2,25,98,BS LM,  927 820 4602
1112,name1113,lastname1113,Female,6,8,97,BS ITE,  917 541 3617
1113,name1114,lastname1114,Male,6,16,98,BS ITE,917 561 4702
1114,name1115,lastname1115,Female,2,25,97,BS ME,  917 103 4403
1115,name1116,lastname1116,Male,1,4,99,BS MGT,  917 472 8417
1116,name1117,lastname1117,Male,4,25,01,BS ITE,  918 962 8354
1117,name1118,lastname1118,Male,7,23,98,BS MGT,927 780 4566
1118,name1119,lastname1119,Male,7,17,01,BS ITE,918 530 9778
1119,name1120,lastname1120,Male,3,10,99,BS MGT,918 501 4512
1120,name1121,lastname1121,Male,12,17,98,BS LM,  918 439 4303
1121,name1122,lastname1122,Male,1,3,98,BS LM,917 310 8397
1122,name1123,lastname1123,Male,9,2,01,BS LM,917 686 3457
1123,name1124,lastname1124,Male,1,1,98,BS ME,927 995 2764
1124,name1125,lastname1125,Female,6,20,99,BS ITE,927 325 1153
1125,name1126,lastname1126,Male,5,2,98,BS MGT,927 383 7195
1126,name1127,lastname1127,Male,7,28,99,BS ITE,917 859 6198
1127,name1128,lastname1128,Female,2,16,01,BS CTM,  918 633 9731
1128,name1129,lastname1129,Female,1,17,98,BS ITE,917 588 9566
1129,name1130,lastname1130,Male,11,14,97,BS LM,927 777 3805
1130,name1131,lastname1131,Male,12,6,98,BS LM,918 822 3585
1131,name1132,lastname1132,Male,6,12,97,BS LM,  918 260 7816
1132,name1133,lastname1133,Female,5,26,98,BS CTM,917 367 2891
1133,name1134,lastname1134,Female,6,26,98,BS MGT,927 393 9901
1134,name1135,lastname1135,Female,10,23,00,BS ITE,917 431 3651
1135,name1136,lastname1136,Male,8,12,98,BS ITE,927 404 6189
1136,name1137,lastname1137,Male,3,2,01,BS ITE,917 421 6329
1137,name1138,lastname1138,Male,1,27,98,BS LM,  918 661 3666
1138,name1139,lastname1139,Male,3,7,99,BS ITE,917 268 1923
1139,name1140,lastname1140,Male,7,10,97,BS CTM,  918 825 7903
1140,name1141,lastname1141,Male,8,8,97,BS ME,  927 925 8074
1141,name1142,lastname1142,Male,1,13,98,BS ITE,918 887 3826
1142,name1143,lastname1143,Male,1,22,01,BS MGT,  917 198 1630
1143,name1144,lastname1144,Male,3,5,97,BS CTM,918 598 8378
1144,name1145,lastname1145,Female,3,26,01,BS ME,  918 531 4245
1145,name1146,lastname1146,Male,1,3,99,BS ME,927 213 3415
1146,name1147,lastname1147,Male,12,18,98,BS CTM,  927 304 9604
1147,name1148,lastname1148,Male,5,23,99,BS MGT,  917 374 3789
1148,name1149,lastname1149,Female,8,9,97,BS LM,927 265 2172
1149,name1150,lastname1150,Male,2,22,98,BS MGT,918 116 3123
1150,name1151,lastname1151,Female,5,13,99,BS ITE,  917 443 9793
1151,name1152,lastname1152,Male,9,22,98,BS ME,  927 263 7472
1152,name1153,lastname1153,Female,5,2,97,BS ME,917 728 8061
1153,name1154,lastname1154,Female,4,13,99,BS MGT,  918 731 7945
1154,name1155,lastname1155,Female,9,10,97,BS CTM,917 480 8509
1155,name1156,lastname1156,Female,3,17,98,BS ITE,917 616 9950
1156,name1157,lastname1157,Female,4,12,00,BS ITE,918 234 5209
1157,name1158,lastname1158,Male,6,14,01,BS ITE,918 389 5381
1158,name1159,lastname1159,Male,12,13,99,BS LM,917 711 1400
1159,name1160,lastname1160,Male,3,6,98,BS ITE,  917 131 9290
1160,name1161,lastname1161,Female,6,21,01,BS CTM,  927 843 1852
1161,name1162,lastname1162,Female,7,25,97,BS ITE,  927 187 3418
1162,name1163,lastname1163,Female,12,6,99,BS CTM,  917 922 3662
1163,name1164,lastname1164,Male,2,23,97,BS CTM,927 181 1014
1164,name1165,lastname1165,Female,1,12,98,BS MGT,  918 306 6443
1165,name1166,lastname1166,Male,11,16,01,BS MGT,917 857 5459
1166,name1167,lastname1167,Male,1,6,99,BS ME,917 480 9480
1167,name1168,lastname1168,Male,8,10,98,BS ITE,  918 965 1161
1168,name1169,lastname1169,Female,5,26,98,BS ME,  927 371 1482
1169,name1170,lastname1170,Male,8,22,99,BS ITE,  917 899 7261
1170,name1171,lastname1171,Male,8,21,99,BS ME,  917 880 9465
1171,name1172,lastname1172,Female,12,24,01,BS ITE,927 495 8365
1172,name1173,lastname1173,Male,7,6,97,BS LM,927 251 2618
1173,name1174,lastname1174,Male,4,28,97,BS MGT,  927 929 9497
1174,name1175,lastname1175,Male,3,26,98,BS MGT,  918 969 6633
1175,name1176,lastname1176,Male,3,10,97,BS ME,  927 870 1377
1176,name1177,lastname1177,Female,10,5,99,BS LM,  917 229 7640
1177,name1178,lastname1178,Male,1,17,99,BS LM,  927 272 9809
1178,name1179,lastname1179,Female,9,6,98,BS MGT,  917 605 9226
1179,name1180,lastname1180,Female,12,27,98,BS ME,918 301 4221
1180,name1181,lastname1181,Male,6,11,98,BS LM,  917 107 1646
1181,name1182,lastname1182,Female,4,22,97,BS LM,  927 882 1975
1182,name1183,lastname1183,Female,10,13,01,BS MGT,917 452 8402
1183,name1184,lastname1184,Male,8,6,98,BS MGT,  917 376 6822
1184,name1185,lastname1185,Female,8,14,00,BS LM,918 381 3967
1185,name1186,lastname1186,Male,5,26,97,BS LM,927 232 1448
1186,name1187,lastname1187,Male,9,23,99,BS MGT,927 969 6019
1187,name1188,lastname1188,Male,7,6,97,BS LM,  917 115 1871
1188,name1189,lastname1189,Male,3,27,97,BS MGT,  917 647 9836
1189,name1190,lastname1190,Male,4,18,99,BS MGT,  927 689 6829
1190,name1191,lastname1191,Female,10,22,97,BS MGT,  927 497 9934
1191,name1192,lastname1192,Female,6,23,98,BS ME,  918 783 7500
